short_name,player_positions,value_eur,overall,potential,age,international_reputation,preferred_foot,weak_foot,skill_moves,height_cm,weight_kg,pace,shooting,passing,dribbling,defending,physic
K. Mbappé,"ST, LW",181500000.0,91,94,24,5,Right,4,5,182,75,97.0,90.0,80.0,92.0,36.0,78.0
E. Haaland,ST,185000000.0,91,94,22,5,Left,3,3,195,94,89.0,93.0,66.0,80.0,45.0,88.0
K. De Bruyne,"CM, CAM",103000000.0,91,91,32,5,Right,5,4,181,75,72.0,88.0,94.0,87.0,65.0,78.0
L. Messi,"CF, CAM",41000000.0,90,90,36,5,Left,4,4,169,67,80.0,87.0,90.0,94.0,33.0,64.0
K. Benzema,"CF, ST",51000000.0,90,90,35,5,Right,4,4,185,81,79.0,88.0,83.0,87.0,39.0,78.0
R. Lewandowski,ST,58000000.0,90,90,34,5,Right,4,4,185,81,75.0,91.0,80.0,87.0,44.0,84.0
T. Courtois,GK,63000000.0,90,90,31,5,Left,3,1,199,96,,,,,,
H. Kane,ST,119500000.0,90,90,29,5,Right,5,3,188,85,69.0,93.0,84.0,83.0,49.0,83.0
Vini Jr.,LW,158500000.0,89,94,22,5,Right,4,5,176,73,95.0,82.0,78.0,90.0,29.0,68.0
Alisson,GK,77500000.0,89,90,30,5,Right,3,1,193,91,,,,,,
Rodri,"CDM, CM",105500000.0,89,90,27,4,Right,4,3,191,82,58.0,73.0,80.0,80.0,85.0,84.0
Rúben Dias,CB,106500000.0,89,90,26,4,Right,4,2,187,82,62.0,39.0,66.0,69.0,89.0,87.0
Neymar Jr,LW,85500000.0,89,89,31,5,Right,5,5,175,68,86.0,83.0,85.0,93.0,37.0,61.0
M. ter Stegen,GK,54500000.0,89,89,31,5,Right,4,1,187,85,,,,,,
Casemiro,CDM,72000000.0,89,89,31,4,Right,3,2,185,84,63.0,75.0,79.0,73.0,89.0,88.0
V. van Dijk,CB,70500000.0,89,89,31,4,Right,3,2,193,92,78.0,60.0,71.0,72.0,89.0,86.0
M. Salah,RW,85500000.0,89,89,31,5,Left,3,4,175,71,89.0,87.0,81.0,88.0,45.0,76.0
F. Valverde,"CM, RW",130500000.0,88,92,24,3,Right,4,3,182,78,88.0,82.0,84.0,84.0,80.0,82.0
V. Osimhen,ST,126500000.0,88,91,24,3,Right,4,3,185,78,90.0,86.0,66.0,83.0,42.0,82.0
Ederson,GK,70000000.0,88,89,29,3,Left,3,1,188,86,,,,,,
J. Kimmich,"CDM, RB, CM",88000000.0,88,89,28,4,Right,4,3,177,75,70.0,74.0,88.0,84.0,82.0,79.0
A. Griezmann,"ST, CF",74000000.0,88,88,32,5,Left,3,4,176,73,80.0,88.0,87.0,88.0,58.0,75.0
J. Oblak,GK,61000000.0,88,88,30,4,Right,3,1,188,87,,,,,,
Bruno Fernandes,"CAM, CM",92000000.0,88,88,28,4,Right,3,4,179,69,71.0,86.0,90.0,83.0,69.0,77.0
Bernardo Silva,"CM, RW",91500000.0,88,88,28,3,Left,3,4,173,64,69.0,78.0,86.0,92.0,70.0,69.0
M. Ødegaard,"CAM, CM",109000000.0,87,90,24,4,Left,2,5,178,68,72.0,81.0,88.0,87.0,61.0,64.0
F. de Jong,"CM, CDM",103500000.0,87,90,26,4,Right,3,4,181,74,82.0,69.0,86.0,87.0,77.0,78.0
G. Donnarumma,GK,85000000.0,87,90,24,3,Right,3,1,196,90,,,,,,
L. Martínez,ST,107000000.0,87,90,25,3,Right,4,4,174,72,80.0,86.0,71.0,85.0,48.0,85.0
G. Kobel,GK,81500000.0,87,90,25,3,Right,3,1,195,88,,,,,,
M. Maignan,GK,73000000.0,87,89,27,3,Right,4,1,191,89,,,,,,
Marquinhos,CB,73500000.0,87,88,29,3,Right,3,3,183,75,78.0,56.0,75.0,74.0,89.0,80.0
M. Neuer,GK,9000000.0,87,87,37,5,Right,4,1,193,93,,,,,,
L. Modrić,CM,25000000.0,87,87,37,4,Right,4,4,172,66,72.0,76.0,89.0,87.0,72.0,66.0
H. Son,LW,77000000.0,87,87,30,4,Right,5,4,183,78,87.0,88.0,80.0,84.0,42.0,70.0
J. Musiala,"CAM, CM, LM",134500000.0,86,93,20,3,Right,4,5,184,72,85.0,75.0,76.0,91.0,63.0,61.0
K. Kvaratskhelia,"LW, RW",109000000.0,86,92,22,2,Right,5,5,183,70,84.0,80.0,81.0,87.0,41.0,71.0
Pedri,CM,105000000.0,86,92,20,3,Right,4,4,174,60,78.0,69.0,82.0,88.0,70.0,74.0
Rafael Leão,"LW, CF, ST",102500000.0,86,91,24,2,Right,4,4,188,81,93.0,80.0,75.0,87.0,27.0,76.0
J. Bellingham,"CM, CAM",100500000.0,86,91,20,3,Right,4,4,186,75,76.0,78.0,80.0,85.0,78.0,82.0
R. Araujo,"CB, RB",93000000.0,86,91,24,3,Right,3,2,188,79,79.0,51.0,65.0,62.0,86.0,84.0
B. Saka,"RW, RM",99000000.0,86,90,21,2,Left,3,3,178,65,85.0,81.0,79.0,87.0,60.0,70.0
M. de Ligt,CB,83000000.0,86,89,23,3,Right,3,2,189,89,66.0,61.0,64.0,68.0,85.0,86.0
Éder Militão,CB,80000000.0,86,89,25,3,Right,3,2,186,78,85.0,50.0,69.0,71.0,86.0,82.0
S. Tonali,"CDM, CM",84000000.0,86,89,23,3,Right,4,3,181,79,84.0,74.0,81.0,81.0,82.0,84.0
N. Barella,CM,83500000.0,86,88,26,3,Right,3,3,175,68,78.0,78.0,82.0,85.0,78.0,80.0
T. Alexander-Arnold,RB,81000000.0,86,88,24,3,Right,4,3,180,69,76.0,69.0,90.0,79.0,80.0,73.0
C. Nkunku,"CF, CAM, ST",86500000.0,86,88,25,3,Right,3,5,175,73,82.0,81.0,83.0,88.0,62.0,67.0
O. Dembélé,"RW, LW",80000000.0,86,87,26,3,Left,5,5,178,67,93.0,77.0,81.0,87.0,36.0,57.0
Cristiano Ronaldo,ST,23000000.0,86,86,38,5,Right,4,5,187,85,77.0,88.0,75.0,80.0,34.0,74.0
T. Kroos,"CM, CDM",42000000.0,86,86,33,4,Right,5,3,183,76,51.0,80.0,90.0,81.0,70.0,71.0
W. Szczęsny,GK,22000000.0,86,86,33,3,Right,3,1,195,90,,,,,,
İ. Gündoğan,"CM, CDM",53500000.0,86,86,32,3,Right,4,4,180,80,62.0,81.0,84.0,86.0,72.0,73.0
Parejo,"CM, CDM",31500000.0,86,86,34,2,Right,4,3,182,74,49.0,83.0,90.0,80.0,73.0,69.0
